,PANDAID,MODIFTIME_EXTENDED,PRE-FAILED/FAILED,COMPUTINGSITE,MODIFICATIONHOST,ATTEMPTNR,FINAL_STATUS,START_TS,END_TS,DURATION
551,4729445903,2020-05-25 13:00:36.641681,holding,ANALY_DCSC,aipanda051.cern.ch,1,failed,2020-05-25 13:00:36.641681,2020-05-25 13:04:52.687926,0.07112395694444444
560,4729445904,2020-05-25 13:05:45.450333,failed,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-25 13:05:45.450333,2020-05-25 13:05:45.450333,0.0
561,4729445904,2020-05-25 13:00:39.695840,holding,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-25 13:00:39.695840,2020-05-25 13:05:45.450333,0.08493180361111112
568,4729445906,2020-05-21 23:07:05.203636,failed,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-21 23:07:05.203636,2020-05-21 23:07:05.203636,0.0
569,4729445906,2020-05-21 23:01:46.959699,holding,ANALY_DCSC,aipanda056.cern.ch,1,failed,2020-05-21 23:01:46.959699,2020-05-21 23:07:05.203636,0.0884010936111111
578,4729445908,2020-05-25 12:26:03.919161,failed,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-25 12:26:03.919161,2020-05-25 12:26:03.919161,0.0
577,4729445908,2020-05-21 04:37:41.235781,running,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-21 04:37:41.235781,2020-05-25 12:26:03.919161,103.80630093888888
587,4729445909,2020-05-25 12:26:04.057588,failed,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-25 12:26:04.057588,2020-05-25 12:26:04.074611,4.728611111111111e-06
586,4729445909,2020-05-25 12:26:04.074611,failed,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-25 12:26:04.074611,2020-05-25 12:26:04.074611,0.0
585,4729445909,2020-05-21 04:37:41.252581,running,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-21 04:37:41.252581,2020-05-25 12:26:04.057588,103.80633472416667
595,4729445911,2020-05-25 12:26:04.227050,failed,ANALY_DCSC,aipanda057.cern.ch,1,failed,2020-05-25 12:26:04.227050,2020-05-25 12:26:04.288244,1.6998333333333333e-05
596,4729445911,2020-05-25 12:26:04.288244,failed,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-25 12:26:04.288244,2020-05-25 12:26:04.288244,0.0
594,4729445911,2020-05-21 04:37:41.268976,running,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-21 04:37:41.268976,2020-05-25 12:26:04.227050,103.80637724277777
604,4729445913,2020-05-21 17:01:09.546209,failed,ANALY_DCSC,aipanda058.cern.ch,1,failed,2020-05-21 17:01:09.546209,2020-05-21 17:01:09.546209,0.0
605,4729445913,2020-05-21 16:56:44.474216,holding,ANALY_DCSC,aipanda058.cern.ch,1,failed,2020-05-21 16:56:44.474216,2020-05-21 17:01:09.546209,0.07363110916666667
614,4729445914,2020-05-21 23:10:16.710158,failed,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 23:10:16.710158,2020-05-21 23:10:16.710158,0.0
613,4729445914,2020-05-21 23:06:23.392572,holding,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 23:06:23.392572,2020-05-21 23:10:16.710158,0.06481044055555556
626,4729445916,2020-05-25 19:22:20.429452,failed,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-25 19:22:20.429452,2020-05-25 19:22:20.429452,0.0
624,4729445916,2020-05-25 19:17:27.661001,holding,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-25 19:17:27.661001,2020-05-25 19:22:20.429452,0.08132456972222223
636,4729445918,2020-05-25 19:22:21.538313,failed,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-25 19:22:21.538313,2020-05-25 19:22:21.538313,0.0
634,4729445918,2020-05-25 19:17:27.686715,holding,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-25 19:17:27.686715,2020-05-25 19:22:21.538313,0.08162544388888889
646,4729445920,2020-05-25 19:22:21.687524,failed,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-25 19:22:21.687524,2020-05-25 19:22:21.687524,0.0
644,4729445920,2020-05-25 19:17:27.728775,holding,ANALY_DCSC,aipanda189.cern.ch,1,failed,2020-05-25 19:17:27.728775,2020-05-25 19:22:21.687524,0.08165520805555555
653,4729445922,2020-05-21 15:26:14.392583,failed,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 15:26:14.392583,2020-05-21 15:26:14.392583,0.0
654,4729445922,2020-05-21 15:21:24.757024,holding,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 15:21:24.757024,2020-05-21 15:26:14.392583,0.08045432194444445
665,4729445923,2020-05-22 17:07:59.777381,failed,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-22 17:07:59.777381,2020-05-22 17:07:59.777381,0.0
666,4729445923,2020-05-22 17:03:14.467596,holding,ANALY_DCSC,aipanda053.cern.ch,1,failed,2020-05-22 17:03:14.467596,2020-05-22 17:07:59.777381,0.07925271805555556
673,4729445925,2020-05-21 15:26:15.135066,failed,ANALY_DCSC,aipanda055.cern.ch,1,failed,2020-05-21 15:26:15.135066,2020-05-21 15:26:15.135066,0.0
